;Time;Close;RSI;MACD;Volatility;EMA20;EMA50;EMA100
0;20171002 020100;12875.5;;;;;;
1;20171002 020200;12876.5;;;;;;
2;20171002 020300;12876.5;;;;;;
3;20171002 020400;12878.5;;;;;;
4;20171002 020500;12874.0;;;;;;
5;20171002 020600;12875.0;;;;;;
6;20171002 020700;12877.5;;;;;;
7;20171002 020800;12876.75;;;;;;
8;20171002 020900;12877.25;;;;;;
9;20171002 021000;12879.75;;;;;;
10;20171002 021100;12882.0;;;;;;
11;20171002 021200;12883.0;;;;;;
12;20171002 021300;12881.5;;;;;;
13;20171002 021400;12880.0;;;;;;
14;20171002 021500;12880.5;61.627906976744185;;;;;
15;20171002 021600;12878.5;56.016260162601625;;;;;
16;20171002 021700;12878.5;56.016260162601625;;;;;
17;20171002 021800;12879.75;58.739564059749995;;;;;
18;20171002 021900;12878.0;53.72436723349321;;;;;
19;20171002 022000;12879.5;57.105027652439325;;0.4211201733987051;12879.025777348772;;
20;20171002 022100;12879.5;57.105027652439325;;0.43822417729299096;12879.130452202358;;
21;20171002 022200;12878.5;54.051944632599444;;0.4490192109002994;12879.10016453125;;
22;20171002 022300;12878.5;54.051944632599444;;0.46168586221229335;12879.072761400244;;
23;20171002 022400;12877.5;50.896082719983944;-0.006119804638728965;0.457597239396434;12878.908096902329;;
24;20171002 022500;12877.0;49.34475915322248;-0.26348015366056643;0.5186317978876882;12878.771006481493;;
25;20171002 022600;12876.75;48.54796931098307;-0.4449828714132309;0.5636274919054625;12878.604565645042;;
26;20171002 022700;12878.0;52.663741872622765;-0.4928673311460443;0.5697329112821791;12878.554426813507;;
27;20171002 022800;12878.5;54.240534094930986;-0.4161968279095163;0.5962847939999439;12878.575279278768;;
28;20171002 022900;12879.0;55.82520741804165;-0.3650142389778921;0.617774916711811;12878.641764842574;;
29;20171002 023000;12878.5;53.81809452538264;-0.38941860872546386;0.6169042521205592;12878.609666306635;;
30;20171002 023100;12878.0;51.81197730781718;-0.38222288956603734;0.6700054217763367;12878.492092057295;;
31;20171002 023200;12877.5;49.812347151827986;-0.46082927811039553;0.8465477499117912;12878.31577976106;;
32;20171002 023300;12876.5;45.989451694318504;-0.6006642653264862;0.929056478265411;12878.06845986579;;
33;20171002 023400;12876.0;44.16437067029603;-0.6938667823324067;0.8786156524344959;12877.811952896534;;
34;20171002 023500;12875.25;41.50372560121766;-0.7912909518745437;0.8402818733951568;12877.489849468653;;
35;20171002 023600;12875.5;42.74199331863856;-0.7928562806700938;0.7677453124311852;12877.255706901775;;
36;20171002 023700;12876.75;48.60065737922359;-0.6738868486627325;0.7618229378416034;12877.18150836839;;
37;20171002 023800;12876.5;47.5526796696955;-0.598413076295401;0.8010547137078478;12877.068250291351;;
38;20171002 023900;12876.5;47.5526796696955;-0.5497261847831396;0.7901228229630383;12876.99181466915;;
39;20171002 024000;12875.75;44.234061116851414;-0.6011919794091227;0.8136466714264521;12876.817755238328;;
40;20171002 024100;12876.25;46.894861601392215;-0.6031647780255298;0.8818123624607258;12876.715330792726;;
41;20171002 024200;12875.5;43.53904560546863;-0.6345805161763565;0.875122577921924;12876.554951909271;;
42;20171002 024300;12875.0;41.41146091078676;-0.7013521432236303;0.857171629498386;12876.354789308623;;
43;20171002 024400;12872.75;33.482400353728565;-0.9058509298538411;0.6827259250576204;12875.940806976156;;
44;20171002 024500;12872.25;32.01539332625357;-1.068707527791048;0.5715667218649003;12875.518632484873;;
45;20171002 024600;12869.5;25.418820319283697;-1.4116100638620992;0.4313574924889514;12874.83756608137;;
46;20171002 024700;12870.5;30.98734627911844;-1.5530580113809265;0.3895991497725516;12874.31288181563;;
47;20171002 024800;12870.0;29.7896913893714;-1.6989044409820053;0.36259690549193796;12873.775670734445;;
48;20171002 024900;12867.5;24.65800673153157;-2.03706119893468;0.32294786024008415;12873.006894281616;;
49;20171002 025000;12865.5;21.471396672383122;-2.4424017652127077;0.28059223156455876;12872.0985418965;12875.120271372567;
50;20171002 025100;12864.5;20.074481662315037;-2.796978579397546;0.24954380927063458;12871.174022318166;12874.636293551788;
51;20171002 025200;12861.25;16.351189719520036;-3.2885839785321878;0.2130327580745939;12869.987114744757;12874.017766044872;
52;20171002 025300;12864.5;30.277615397169654;-3.3539259682893316;0.2035537052092024;12869.286000013422;12873.570887673462;
53;20171002 025400;12866.5;37.20596230059618;-3.175836913533203;0.2019905107219927;12868.87932854885;12873.219965316614;
54;20171002 025500;12863.0;31.33727063346717;-3.285072406008112;0.1923353039296879;12868.137140697412;12872.751685772542;
55;20171002 025600;12863.0;31.33727063346717;-3.2761755961055314;0.18689913451514795;12867.461917978784;12872.295634078482;
56;20171002 025700;12865.25;38.56241795539252;-3.0283362747250067;0.19156294461317758;12867.080165597921;12871.94416804528;
57;20171002 025800;12864.5;37.158794275677515;-2.794258050424105;0.19724483800711629;12866.655903166284;12871.577073229062;
58;20171002 025900;12864.25;36.67953156664534;-2.6197549739299575;0.20627053491146816;12866.244517732237;12871.209968326162;
59;20171002 030000;12856.75;25.890921954896243;-3.0670705657648796;0.1932457350344311;12865.05760168829;12870.501781510102;
60;20171002 030100;12858.0;29.607160753547234;-3.1847341869306547;0.19442618626357602;12864.113931160044;12869.864250280218;
61;20171002 030200;12856.25;27.526078410575863;-3.323751555280978;0.1933645377918764;12863.078589650877;12869.166218676428;
62;20171002 030300;12858.0;32.62606571190267;-3.196618465541178;0.20301760394217708;12862.341993581887;12868.584130486459;
63;20171002 030400;12860.0;37.996167272609206;-2.796126406528856;0.21531663139153312;12861.92925592598;12868.124776844767;
64;20171002 030500;12862.75;44.54169361340509;-2.2590740279138117;0.23647709338281966;12861.866083898307;12867.805086329408;
65;20171002 030600;12862.0;43.20218651492873;-1.9118259744227544;0.24986647218587693;12861.767255078568;12867.476190999398;
66;20171002 030700;12861.75;42.740779534299584;-1.5443759388199396;0.2760625501467504;12861.635431881212;12867.148855590473;
67;20171002 030800;12863.25;46.43717032227839;-1.116424678142721;0.31223731824200135;12861.688775812712;12866.894714407092;
68;20171002 030900;12862.25;44.38025838429936;-0.8962185991404112;0.3365123777188208;12861.664117821383;12866.615925898608;
69;20171002 031000;12867.25;55.0913680122969;-0.2902409699781856;0.3227707326467569;12862.222142571609;12866.565624892068;
70;20171002 031100;12869.5;58.924756555666356;0.4050586061584909;0.2882802840002203;12862.989660339957;12866.619337888911;
71;20171002 031200;12871.75;62.38275420008039;1.3186043372243148;0.24872993353510783;12863.980194230677;12866.779121962301;
72;20171002 031300;12874.5;66.13530495665984;2.2122629930054245;0.2098117439088435;12865.130857473328;12867.057357278474;
73;20171002 031400;12873.75;64.25276309700948;2.851797374903981;0.19029515666007527;12866.059591499863;12867.29680365449;
74;20171002 031500;12873.5;63.602855928895615;3.256469606722021;0.17637330019170003;12866.924417661061;12867.51859006839;
75;20171002 031600;12877.0;68.41898696288825;3.753777345036724;0.15838144281661162;12868.092284701906;12867.891944079132;
76;20171002 031700;12874.75;62.6772889486345;3.8798538928658672;0.14988113444949216;12868.867690955502;12868.140945274117;
77;20171002 031800;12880.0;69.17707455580056;4.424276852183539;0.1351436188964916;12870.158515181807;12868.615210324282;
78;20171002 031900;12881.0;70.2401922597043;4.849667622698689;0.12398078707680886;12871.440238985111;12869.11316045814;
79;20171002 032000;12884.0;73.2239276502702;5.343335744921205;0.11767988024932446;12873.041823968348;12869.730706382466;
80;20171002 032100;12885.0;74.1541451678136;5.798609656032568;0.11276604228971239;12874.582395719173;12870.372454586372;
81;20171002 032200;12889.75;78.05417436398992;6.363256557993736;0.1074745938457317;12876.525332339545;12871.207524985653;
82;20171002 032300;12889.5;77.3922543128686;6.640692777178629;0.10475173902951912;12878.22966245744;12872.004645644845;
83;20171002 032400;12890.25;77.9951386180143;6.6809752016670245;0.10261169298646343;12879.824506870309;12872.807588502144;
84;20171002 032500;12890.0;77.25558438107171;6.529549685323218;0.1010686152109245;12881.199018721612;12873.57230750952;
85;20171002 032600;12891.0;78.14814057459365;6.380816283859531;0.10148481210871178;12882.563898748866;12874.350855262759;
86;20171002 032700;12889.75;74.22695731404598;6.073955626261522;0.10546140147126772;12883.664864885153;12875.034511989508;
87;20171002 032800;12885.5;62.70638944609464;5.309066393901958;0.11319906354972563;12884.17066843607;12875.500147767156;
88;20171002 032900;12886.75;64.4538622063757;4.810408517418182;0.126718737646495;12884.78082265953;12876.004212993173;
89;20171002 033000;12882.0;54.08319689861302;3.799582772251597;0.1394064974760069;12884.735428450133;12876.277692230902;
90;20171002 033100;12880.25;50.837759777400585;2.754948118878019;0.152265783492066;12884.46818004054;12876.45801322088;
91;20171002 033200;12879.75;49.91610522055284;1.7750652291451843;0.16378275780712115;12884.13785114362;12876.613188969764;
92;20171002 033300;12880.0;50.400294926418866;0.9353991846437566;0.17167972840794452;12883.825597420717;12876.776685357001;
93;20171002 033400;12882.25;54.64967032027823;0.36717654506537656;0.18535085859777128;12883.802000955578;12877.049617656883;
94;20171002 033500;12879.25;48.66320914633026;-0.34466235351101204;0.2014236096281119;12883.454023817916;12877.178859536292;
95;20171002 033600;12882.0;53.6729305489788;-0.6882302636895474;0.21189074523622323;12883.389933848528;12877.444624539197;
96;20171002 033700;12881.75;53.165001922259165;-0.9636879783520271;0.23698441389562225;12883.33789355771;12877.682493396467;
97;20171002 033800;12880.25;50.10139439036529;-1.3572824556249543;0.23775321198742702;12883.04752788145;12877.846074480156;
98;20171002 033900;12879.75;49.08601464498751;-1.6959117264905217;0.23421425650482086;12882.71488048466;12877.99590488361;
99;20171002 034000;12883.75;56.65432782895088;-1.4831085391087981;0.2341202766096968;12882.809743871176;12878.333538652147;12876.187068440027
100;20171002 034100;12884.5;57.91746312266359;-1.309639075981977;0.23423433429206633;12882.963281796403;12878.698081739385;12876.379573028806
101;20171002 034200;12884.75;58.35312541448529;-0.980811621497196;0.24499410892958992;12883.059056945385;12879.079609128734;12876.570891800375
102;20171002 034300;12884.5;57.70972439792447;-0.6835343403745355;0.2573873668710756;12883.1219011278;12879.41489455022;12876.75269680628
103;20171002 034400;12884.5;57.70972439792447;-0.3928035401422676;0.27837511238488877;12883.167601876567;12879.724759416455;12876.92470347247
104;20171002 034500;12884.5;57.70972439792447;-0.14698996562765387;0.30543907593501984;12883.212669597538;12880.043948907183;12877.107250107398
105;20171002 034600;12885.5;59.91765194096559;0.14656002591982542;0.35816696416153393;12883.348683249853;12880.39597290293;12877.305983937662
106;20171002 034700;12887.25;63.508211860200575;0.605663502270545;0.39690472313065933;12883.683042981329;12880.799751460247;12877.53311156969
107;20171002 034800;12885.25;57.201629722562544;0.7481907657529518;0.3989306195318727;12883.828557558634;12881.101594124682;12877.712263764077
108;20171002 034900;12887.75;62.24820211064543;1.0818720189017768;0.38529468886212015;12884.216905965226;12881.506513185193;12877.943571581354
109;20171002 035000;12885.5;55.863711476840905;1.2006628252474911;0.37824897773374944;12884.391177339727;12881.83953205456;12878.111023768952
110;20171002 035100;12884.75;53.879947347261414;1.2313750221837836;0.3884179274343002;12884.492300566928;12882.11780748836;12878.25101122562
111;20171002 035200;12882.0;47.253906905570744;0.8758268908331956;0.40747273043977983;12884.288413428427;12882.271190969108;12878.322149506797
112;20171002 035300;12882.0;47.253906905570744;0.5893150147148845;0.426842032423791;12884.10022468817;12882.407821317465;12878.396527789586
113;20171002 035400;12881.5;46.05949863184456;0.2553405839353218;0.42173568451879484;12883.84142596826;12882.504145635607;12878.462631365284
114;20171002 035500;12878.5;39.59299698718194;-0.2848252723033511;0.4085900451326068;12883.32156045977;12882.443763162019;12878.457173097668
115;20171002 035600;12878.5;39.592996987181955;-0.7162000318749051;0.3737252728769638;12882.810292282888;12882.390350668831;12878.458021155138
116;20171002 035700;12877.75;38.044359258171006;-1.113128343853532;0.34044094380488565;12882.268848892956;12882.306552991682;12878.441676594019
117;20171002 035800;12876.0;34.63974714023702;-1.5621027342331217;0.3039664439567785;12881.608585449017;12882.13747187251;12878.381704861351
118;20171002 035900;12874.0;31.202980269246055;-2.148576445162689;0.26354270490410314;12880.798411500526;12881.890453959231;12878.282541947276
119;20171002 040000;12873.0;29.62055489599875;-2.596970513382985;0.2299178341822668;12879.895770391005;12881.577091014578;12878.157792874326
120;20171002 040100;12874.5;34.94964172868542;-2.855287225378561;0.21621538497186052;12879.233110517713;12881.330238302016;12878.069865730795
121;20171002 040200;12874.25;34.48102205035494;-3.0188661804877484;0.20662872477865799;12878.602312735793;12881.067922032214;12877.981053563988
122;20171002 040300;12875.5;38.89290630242738;-3.0007378979007626;0.20316571279808734;12878.172955098988;12880.855708202278;12877.92262642956
123;20171002 040400;12875.0;37.79654481589366;-2.8860042730211717;0.20054431935354716;12877.72943076912;12880.633742653607;12877.857004838139
124;20171002 040500;12875.75;40.50570472807647;-2.6844001065583143;0.20126787627471615;12877.41073369647;12880.456029454635;12877.811408069687
125;20171002 040600;12869.5;29.122732237240967;-3.0075363521991676;0.18987042797714135;12876.419287321029;12879.980360838126;12877.62435710954
126;20171002 040700;12869.5;29.122732237240967;-3.146998848140356;0.1892737540197647;12875.496228438606;12879.537152013632;12877.437136228436
127;20171002 040800;12871.0;34.2645836256264;-3.0772821672435384;0.19163756273985183;12874.856009011417;12879.147137255472;12877.28642478209
128;20171002 040900;12866.25;27.468803371575817;-3.3607097360545595;0.1934549745733286;12873.716518600915;12878.550860375244;12877.028367933359
129;20171002 041000;12865.25;26.286789717820255;-3.5577838751250965;0.19076326854486095;12872.608910113773;12877.914207001093;12876.754069580877
130;20171002 041100;12864.25;25.12257883739484;-3.6645589200634276;0.1891912803350006;12871.507830629507;12877.251032632294;12876.4638513386
131;20171002 041200;12862.0;22.687829511549396;-3.869977041369566;0.1781258045251039;12870.304768992692;12876.482677431597;12876.129402076242
132;20171002 041300;12865.0;32.13228041395527;-3.707393016800779;0.18190919875006276;12869.546632034007;12875.882043040694;12875.873377993326
133;20171002 041400;12865.75;34.29332164188048;-3.4678130808151764;0.19085524794658792;12868.950724288987;12875.33437470433;12875.641149079745
134;20171002 041500;12862.5;29.85673568701462;-3.533435955787354;0.18709110091279102;12868.098326428546;12874.662324416191;12875.341414522136
135;20171002 041600;12868.5;44.20730839889633;-3.0337966861789027;0.19832457985395097;12867.987804075487;12874.282603427371;12875.184247125195
136;20171002 041700;12868.0;43.41027010837155;-2.654599758638142;0.21085242242023416;12867.843908037674;12873.902767654838;12875.014867503305
137;20171002 041800;12867.75;42.99288553377111;-2.192538123748818;0.2209171182337336;12867.712223407441;12873.55256769595;12874.843891438284
138;20171002 041900;12865.5;39.32790315321772;-2.01217786912639;0.2238692984833909;12867.375075031798;12873.106389586785;12874.62477356182
139;20171002 042000;12864.5;37.78616616439498;-1.9508818860813335;0.2239948882591928;12866.974797930032;12872.661503173398;12874.389417892928
140;20171002 042100;12864.25;37.391520516099625;-1.781612002676411;0.23110234170195354;12866.56279696189;12872.233463444973;12874.151447897064
141;20171002 042200;12862.5;34.66244003741548;-1.7529689704515476;0.2363825366690505;12866.001050967683;12871.745912070168;12873.880437592696
142;20171002 042300;12861.5;33.172502417229296;-1.7747452047278784;0.251751637349787;12865.364091676482;12871.230594603747;12873.593442288678
143;20171002 042400;12861.5;33.172502417229296;-1.7096917540129652;0.2761456358264156;12864.79523402386;12870.72167954465;12873.319103080636
144;20171002 042500;12860.0;30.864536752907583;-1.7978750302627304;0.32591322000517864;12864.104221327427;12870.183102489947;12873.017394241575
145;20171002 042600;12859.5;30.112462349682815;-1.8898149917840783;0.31716814473046795;12863.516947079237;12869.626096086473;12872.718731865536
146;20171002 042700;12865.75;47.37449750842743;-1.2951812256087578;0.33769690696738;12863.673827418885;12869.375915459499;12872.566016353729
147;20171002 042800;12866.75;49.52278456940593;-0.856020533332412;0.383705298254484;12863.9035660201;12869.190101657972;12872.4407755721
148;20171002 042900;12866.0;47.94205122190532;-0.5337122724467918;0.3850362421337186;12864.09950697466;12868.98062889407;12872.308586781319
149;20171002 043000;12867.75;51.8074551858792;-0.18421931473676523;0.3701708202786884;12864.484367221805;12868.834192078557;12872.22529075682
150;20171002 043100;12866.5;49.00825643583269;0.040755139398243045;0.36513235744421135;12864.709807068552;12868.63220616807;12872.118116903213
151;20171002 043200;12866.75;49.59484168515756;0.28710546759612043;0.3690744830131528;12864.974780222243;12868.447945195232;12872.0288627202
152;20171002 043300;12867.75;51.9746735538867;0.5197159768504207;0.3586629802174596;12865.280000536944;12868.317795896286;12871.954204906307
153;20171002 043400;12868.0;52.57748373544171;0.7489501351337822;0.3488689418459692;12865.572522925111;12868.2040884264;12871.880552499502
154;20171002 043500;12865.0;45.239249440297144;0.6789997874184337;0.35681439343174903;12865.555191176969;12867.958784853112;12871.750502175735
155;20171002 043600;12864.25;43.60088042103968;0.529348018751989;0.37073523604521513;12865.367657039316;12867.68295116916;12871.605851280552
156;20171002 043700;12865.0;45.71795998671991;0.5446842490673589;0.38432001694568124;12865.28800898952;12867.441210203438;12871.474267564234
157;20171002 043800;12862.5;40.28902058076449;0.3676229220145615;0.3912681583629181;12864.944376409925;12867.107842033069;12871.290361055031
158;20171002 043900;12859.5;34.9288526006999;-0.2089439761784888;0.35944334115659576;12864.336598183538;12866.636151770213;12871.042167737509
159;20171002 044000;12858.0;32.59387673191098;-0.738272213118762;0.32124682837194024;12863.636407605964;12866.12873767558;12870.787780890594
160;20171002 044100;12857.0;31.101190539884982;-1.2113945127584884;0.28772236979886573;12862.896505476638;12865.600472473192;12870.511656406126
161;20171002 044200;12858.5;35.84715376170513;-1.4779767925956548;0.2738725401905364;12862.418279877773;12865.17782531081;12870.280774844492
162;20171002 044300;12858.5;35.84715376170513;-1.665435953758788;0.2637582250846988;12862.000477271931;12864.771752546943;12870.049041734459
163;20171002 044400;12860.25;41.31660826518709;-1.6619610084781016;0.261002846770999;12861.815168028434;12864.464037776952;12869.855776084141
164;20171002 044500;12861.0;43.538330189942855;-1.6061868421693362;0.263554748028641;12861.752410676;12864.220812218853;12869.674990720965
165;20171002 044600;12862.25;47.13093585033569;-1.4709370090185985;0.2701716134791496;12861.840713804624;12864.043814592875;12869.52873598182
166;20171002 044700;12859.75;41.450285749570185;-1.51196582085322;0.26741208074029904;12861.55233201684;12863.764980740638;12869.328899404953
167;20171002 044800;12858.25;38.455368114232286;-1.6419641480897553;0.2645707796491575;12861.111363773642;12863.439792033285;12869.09401965685
168;20171002 044900;12859.5;42.20307425453592;-1.6583028063359961;0.2664112835139752;12860.861195520816;12863.196317606567;12868.895516488765
169;20171002 045000;12857.75;38.65424379234895;-1.755825333928442;0.2736633045495805;12860.416114206588;12862.889161705336;12868.645371549172
170;20171002 045100;12858.25;40.20145089412829;-1.6232155284324108;0.28089247528266287;12860.087076607886;12862.607522923023;12868.404657504294
171;20171002 045200;12857.0;37.645228939759406;-1.5461570745555946;0.28959747252622486;12859.648011757461;12862.281773137316;12868.133110677887
172;20171002 045300;12855.5;34.78674013563645;-1.563665510429928;0.3072357640657871;12859.070711219496;12861.893100175977;12867.824066784817
173;20171002 045400;12855.75;35.663573208996795;-1.5334439918387943;0.35024231555619567;12858.572201208952;12861.534075253394;12867.529192188138
174;20171002 045500;12855.5;35.154538845741115;-1.5101819940609857;0.36911996940112146;12858.138272487657;12861.17318976428;12867.235206197334
175;20171002 045600;12854.5;33.1182724398401;-1.5821523901267938;0.3804260780452865;12857.646712791538;12860.819455242834;12866.913293689777
176;20171002 045700;12852.5;29.444802308624077;-1.7821991601740592;0.3937747192168062;12856.970578444905;12860.38888918349;12866.558926506994
177;20171002 045800;12849.25;24.658376176795798;-2.206952951166386;0.3319891685932384;12856.038155762619;12859.818610832297;12866.12087753801
178;20171002 045900;12851.5;32.80242149918308;-2.285012804228245;0.3082303324968471;12855.486928868768;12859.401884007875;12865.73993116184
